,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCES,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUN,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,76,34,0.381818178,0.060010911,26.12987013,0.301192843,10.57242519,26.12987013,606,2012,1.859840954,39,5.160039761
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,71,38,0.302752291,0.074862637,20.525,0.195493301,8.28819732,20.525,321,1642,1.542630938,37,4.302679659
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,74,38,0.321428569,0.064478987,22.55294118,0.279081899,9.13280923,22.55294118,535,1917,1.811163276,31,4.912363067
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,84,28,0.499999996,0.067146283,19.28421053,0.199781659,7.793596874,19.28421053,366,1832,1.581331878,74,4.42849345
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,69,28,0.422680408,0.053150685,25.05063291,0.210207175,10.10433603,25.05063291,416,1979,1.643759474,36,4.612935826
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,54,23,0.402597397,0.057037037,23.296875,0.212608987,9.403793595,23.296875,317,1491,1.625083836,17,4.498993964
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,28,12,0.39999999,0.052840158,18.68888889,0.214030916,7.561167922,18.68888889,180,841,1.63020214,14,4.564803805
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,43,13,0.535714276,0.073781291,22.80555556,0.193666261,9.199688726,22.80555556,159,821,1.571254568,11,4.381242387
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,81,41,0.32786885,0.054464286,29.82716049,0.219784768,12.0187781,29.82716049,531,2416,1.651903974,87,4.508278146
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,61,65,-0.031746031,0.057931034,23.04807692,0.216520651,9.30583903,23.04807692,519,2397,1.581143096,32,4.408427201
